tempo;danceability;energy;instrumentalness;liveness;valence
156.985;0,577083333;0,565277778;0,093055556;0,386111111;0,270138889
115.08.00;0,499305556;0,342361111;0;0,081944444;0,086111111
218.05.00;0,059027778;0,620138889;4.14E-06;0,258333333;0,271527778
186.948;0,330555556;0,542361111;0;0,079166667;0,121527778
147.988;0,554166667;0,433333333;0;0,115277778;0,410416667
144.915;0,500694444;0,394444444;0,147222222;0,088888889;0,075694444
130.826;0,498611111;0,463888889;0.0078;0,086111111;0.038
138.049;0,481944444;0,49375;0;0,077777778;0,196527778
219.96;0,5375;0,521527778;0;0,505555556;0,13125
199.942;0,620138889;0,629861111;0,215972222;0,3875;0,209722222
189.938;0,6;0,253472222;0;0,080555556;0,331944444
124.514;0,511111111;0,647222222;0.0025;0,126388889;00.18
149.97;0,572916667;0,528472222;0.00359;0,231944444;0,111805556
139.99;0,532638889;0,4;2.61E-06;0,672222222;0,129861111
128.014;0,53125;0,504166667;0;0,429861111;00.27
159.996;0,428472222;0,375694444;0;0,25625;00.43
199.958;0,524305556;0,206944444;0,228472222;0,070138889;0,258333333
120.004;0,565277778;0,399305556;0.000291;0,075694444;0,2
128.066;0,563888889;0,564583333;0.00015;0,526388889;0,241666667
212.15.00;0,589583333;0,45;0.00592;0,683333333;0,136111111
114.956;0,418055556;0,401388889;0;0,113888889;0,108333333
111.958;0,608333333;0,533333333;1.21E-05;0,196527778;0,05
139.973;0,539583333;0,49375;0;0,142361111;0,203472222
112.97;0,575694444;00.59;0,074305556;0,079166667;0,230555556
118.03.00;0,54375;0,645138889;0.00414;0,478472222;0,105555556
141.52.00;0,546527778;0,504861111;0.0017;0,261111111;00.21
130.037;0,489583333;0,45;0.000595;0,259027778;0,276388889
125.013;0,047916667;0,052777778;0;0,093055556;0,553472222
139.967;0,554861111;0,670833333;0;0,456944444;0,6
121.979;0,65;0,330555556;0;0,279166667;0,252083333
114.771;0,581944444;0,440277778;0;0,077083333;0,155555556
130.028;0,669444444;00.51;6.47E-06;0,38125;0,329166667
120.006;0,057638889;0,26875;0,282638889;0,643055556;0,389583333
119.999;0,315972222;0,364583333;0,509722222;0,086805556;0,19375
117.962;0,519444444;0,397916667;2.59E-06;0,645138889;0,134027778
114.997;0,517361111;0,477777778;0.00906;0.077;0,3625
199.974;0,501388889;0,360416667;0,079166667;0,13125;0,088888889
150.029;0,45625;0,328472222;0.026;0,075;0,10625
129.999;0,65;0,329166667;0;0,077083333;0,116666667
219.808;0,53125;0,043055556;0.00019;00.16;0,151388889
209.998;0,045138889;0,661111111;0,24375;0,234027778;0,177777778
190.15.00;0,268055556;0,65;0.00192;0,264583333;0,134027778
180.218;0,390972222;0,047222222;3.28E-05;0,084722222;0,275
129.985;0,539583333;0,626388889;0;0,190972222;0,320833333
121.829;0,421527778;0,520138889;7.66E-05;0,1625;00.18
115.503;0,436111111;0,397916667;0;0,606944444;0,26875
191.186;0,325;0,225694444;0,504166667;0,075694444;0,26875
207.992;0,355555556;00.44;3.11E-06;0,161805556;0,091666667
173.993;0,35;00.48;0.000252;0,070138889;0,609722222
117.031;0,422222222;0,459722222;7.85E-06;0,284027778;0,442361111
141.037;0,54375;0,475;0.000548;0,154166667;0,120138889
162.12.00;0,463888889;0,332638889;0,283333333;00.12;0,070833333
119.047;0,366666667;0,428472222;0,10625;0,101388889;0,247222222
120.01.00;0,552777778;0,525;0.00679;0,088888889;0,202777778
136.462;0,207638889;0,264583333;0.0023;0,647222222;0,272222222
217.888;0,447222222;0,044444444;0;0,101388889;0,121527778
143.294;0,328472222;0,585416667;2.53E-05;0,070833333;00.24
110.337;0,327083333;0,429166667;0.00664;00.16;0,272222222
115.282;0,461805556;0,309722222;1.88E-05;0,224305556;0,08125
219.984;0,563888889;0,490972222;0;0,407638889;0,172222222
199.651;0,181944444;0,622916667;0;00.11;0,175694444
150.017;0,396527778;0,600694444;0,14375;0,629166667;0,122916667
211.954;0,522916667;0,471527778;4.21E-05;0,29375;00.19
139.987;0,649305556;0,297916667;0;0,070833333;0,534027778
211.95;0,504166667;0,440277778;4.43E-06;0,636111111;0,220833333
220.002;0,593055556;0,068055556;0.00053;0,380555556;0,177083333
112.027;0,365277778;0,043055556;0.000241;0,096527778;0,129861111
131.999;0,058333333;0,308333333;0.000884;0,432638889;0,261111111
192.378;0,568055556;0,4;0;0,072916667;0,197916667
119.994;0,611805556;0,627083333;0.00253;0,075694444;0,188888889
134.974;0,053472222;0,432638889;0;0,08125;0,657638889
114.972;00.08;0,350694444;2.05E-05;0,1375;0,124305556
212.022;0,542361111;0,342361111;0,406944444;0,085416667;0,265972222
119.989;0,567361111;0,632638889;0.00173;00.42;00.34
120.098;0,565277778;0,051388889;2.28E-05;00.12;0,132638889
150.018;0,470833333;0,053472222;0;0,127777778;0,197222222
140.055;0,524305556;0,547222222;0;0,215972222;0,322916667
122.016;0,05625;0,363888889;0,495833333;0,072916667;0,107638889
211.95;0,559722222;0,4875;0,095833333;0,224305556;0,126388889
130.012;0,061805556;0,051388889;1.17E-05;0,169444444;0,302777778
144.946;0,63125;0,397916667;0,113194444;0,45625;0,272222222
129.988;0,510416667;0,647916667;0,075;00.01;0,080555556
129.763;0,484722222;0,685416667;0.000558;0,238194444;0,184722222
144.702;0,400694444;0,480555556;0,413888889;0,686805556;0,456944444
149.867;0,574305556;0,535416667;0;0,075694444;0,378472222
159.941;0,047222222;0,490972222;0.00638;0.097;0,158333333
142.018;0,500694444;0,624305556;2.51E-05;0,0875;0,267361111
139.961;0,539583333;0,563888889;0,183333333;0,128472222;0,313888889
215.218;0,402083333;0,564583333;3.50E-05;0,253472222;0,216666667
114.946;0,059722222;0,363888889;0,066666667;0,689583333;0,098611111
130.837;0,295138889;0,352777778;0,125694444;0,169444444;0,471527778
155.01.00;0,343055556;0,482638889;0,109722222;0,154861111;0,501388889
219.946;0,450694444;0,536111111;0.00305;0,071527778;0,204166667
159.94;0,565277778;0,526388889;0.091;0,141666667;0,056944444
158.764;00.37;0,594444444;0.00967;00.18;0,524305556
125.033;0,616666667;0,629166667;0.000474;0,184722222;0,33125
144.981;0,566666667;0,043055556;1.09E-05;0,174305556;0,184027778
150.004;0,495138889;0,582638889;0,490277778;0,073611111;0,25625
219.692;0,311805556;0,447916667;0.00846;0,074305556;0,409027778
139.804;0,640972222;0,065277778;9.67E-06;0,094444444;0,582638889
220.012;0,577777778;0,556944444;0.00361;0,096527778;0,123611111
157.231;0,395138889;0,494444444;3.41E-05;0,1;0,49375
168.298;0,330555556;0,572916667;6.51E-05;0,079861111;00.43
179.998;0,279861111;0,483333333;0,184027778;0,501388889;0,483333333
120.045;0,580555556;0,490277778;0;0,64375;0,259722222
120.058;0,568055556;0,492361111;0;0,179861111;0,313888889
119.975;0,589583333;0,3625;0;0,145138889;0,404166667
180.048;0,488194444;0,372222222;0,077777778;0,096527778;0,111805556
124.863;0,491666667;0,206944444;0,536111111;0,211111111;0,081944444
136.07.00;0,591666667;0,500694444;0.000645;00.11;0,557638889
120.011;0,481944444;0,356944444;0.000164;0,079861111;0,094444444
124.993;0,413194444;0,23125;0,186111111;0,693055556;0,072916667
161.502;0,500694444;0,557638889;4.51E-05;0,075694444;0,121527778
125.975;0,5875;0,427777778;0.00309;0,070138889;0,092361111
218.082;0,052777778;0,4;3.41E-06;0,134722222;0,127777778
120.01.00;0,367361111;0,567361111;3.98E-05;0,123611111;0,125694444
139.614;0,388194444;0,356944444;0.000109;0,681944444;0,632638889
129.004;0,670138889;00.59;0;0,636805556;0,320833333
172.139;0,413888889;0,611805556;2.37E-06;0,554166667;0,163194444
208.096;0,494444444;0,681944444;0;0,102083333;0,38125
132.999;0,484027778;0,60625;0;00.22;0,378472222
120.007;0,584027778;0,358333333;0;0,542361111;00.26
200.092;0,513194444;0,321527778;0;0,29375;0,317361111
200.074;0,600694444;0,61875;0;0,584722222;0,465972222
200.064;0,538194444;0,440277778;1.78E-06;0,436111111;0,361805556
139.867;0,513194444;0,345833333;0;0,652083333;0,160416667
129.961;0,503472222;0,401388889;0.000117;0,26875;0,413194444
210.134;0,04375;0,608333333;0;0,154861111;0,177777778
119.866;0,488888889;0,581944444;0;0,070833333;0,241666667
207.852;0,510416667;0,563194444;0,113888889;0,366666667;00.42
119.987;0,6;0,504861111;0;0,204861111;0,415972222
139.958;00.48;0,683333333;0;0,327777778;0,272916667
129.992;0,504166667;0,571527778;0;0,490972222;0,108333333
219.89;0,524305556;0,53125;0;0,392361111;0,278472222
124.972;0,611805556;0,309027778;0,449305556;0,079166667;0,263194444
219.988;0,589583333;0,068055556;0.000787;0,382638889;0,204861111
184.04.00;0,418055556;0,529166667;0.00819;0,084027778;0,077777778
199.994;0,641666667;0,377083333;7.32E-05;00.11;0,072222222
216.152;0,638194444;0,342361111;1.62E-06;0,084722222;0,110416667
133.993;0,588888889;0,460416667;0;0,075;0,23125
206.056;0,329861111;0,547222222;0;0,088888889;00.26
200.094;0,529166667;00.41;3.43E-05;0,109027778;0,564583333
203.982;0,547916667;0,432638889;0;0,579861111;0,470833333
140.036;0,525;0,551388889;0;0,218055556;0,329166667
150.008;0,554861111;0,379166667;3.19E-06;0,580555556;0,511111111
119.956;0,646527778;0,189583333;0;0,095138889;0,41875
200.02.00;0,623611111;0,379861111;1.04E-05;00.37;0,529861111
133.052;0,579861111;0,388194444;5.50E-05;0,080555556;0,185416667
208.054;0,497222222;0,517361111;0;0,071527778;0,674305556
139.972;0,502083333;0,31875;0;00.11;0,217361111
147.904;0,589583333;0,511111111;0;0,525694444;0,188194444
120.054;0,529166667;0,353472222;0;0,107638889;0,465972222
123.049;0,525;0,051388889;0,11875;0,448611111;0,213888889
131.984;0,504861111;0,5875;0;0,099305556;0,367361111
212.026;0,54375;0,345138889;00.06;0,086111111;0,264583333
192.008;0,584027778;0,4;0;0,072916667;0,193055556
119.917;0,475694444;0,279166667;0,143055556;0,279166667;0,074305556
179.968;0,386111111;0,311805556;0,258333333;0,309722222;0,336111111
185.948;0,434027778;00.45;0.000217;0,08125;0,251388889
150.023;00.08;0,572222222;0.000221;0,365972222;0,320833333
170.05.00;0,509722222;0,502777778;0;0,172222222;0,177777778
125;0,539583333;0,515277778;0;0,664583333;0,420138889
138.034;0,509027778;0,045833333;0;0,104861111;0,179861111
119.999;0,557638889;0,547916667;0;0,2625;0,449305556
160.075;0,450694444;0,373611111;0,278472222;0,644444444;0,246527778
159.95;00.58;0,602083333;0,126388889;00.14;0,334722222
130.015;0,55625;0,471527778;8.85E-06;0,130555556;0,335416667
200.238;0,470138889;0,454861111;0,191666667;0,1125;0,101388889
116.914;0,432638889;0,497222222;2.54E-06;0,078472222;0,140972222
155.862;0,553472222;0,376388889;0;0,581944444;0,217361111
120.037;0,059027778;0,376388889;0;0,5375;0,413194444
119.693;0,515972222;0,285416667;0;0,202777778;0,235416667
113.996;0,608333333;0,527083333;0.000675;0,329861111;0,188194444
143.026;0,461805556;0,574305556;0;0,24375;00.12
139.968;0,05625;0,40625;0,079861111;0,665972222;0,195138889
120.16.00;0,429166667;0,515972222;0,161111111;0,313888889;0,172916667
173.994;0,431944444;0,596527778;0;0,553472222;0,205555556
160.028;0,468055556;0,448611111;0;0,072222222;0,154166667
190.012;0,436111111;00.53;0;0,445833333;0,140972222
127.947;0,609027778;0,454861111;0;0,658333333;0,082638889
119.904;0,40625;0,621527778;0.00423;00.32;0,125694444
137.989;0,497916667;0,642361111;0;0,199305556;0,286111111
204.068;0,495833333;0,592361111;0;0,080555556;0,123611111
130.32.00;0,328472222;0,536111111;0;0,277083333;0,210416667
160.123;0,532638889;0,442361111;0;0,072916667;0,372222222
113.007;0,499305556;0,488888889;0;0,522916667;0,561111111
141.997;0,059027778;0,318055556;0;0,084722222;0,290972222
206.038;0,466666667;0,398611111;2.02E-06;00.18;0,073611111
189.872;0,526388889;0,497222222;9.52E-05;0,453472222;0,392361111
148;0,052777778;0,5375;0.000701;0,138194444;0,342361111
193.92;0,352777778;0,289583333;0.00207;0,088888889;0,234027778
152.11.00;0,603472222;0,397222222;0;0,071527778;0,456944444
120.011;0,684027778;0,364583333;0;0,080555556;0,295138889
149.005;0,5125;0,494444444;0;0,536805556;0,248611111
135.037;0,46875;0,398611111;1.11E-05;0,075;0,334722222
112.002;0,608333333;0,504166667;4.02E-05;0,254166667;0,538194444
120.08.00;0,503472222;0,384722222;4.03E-06;0,339583333;0,160416667
129.998;0,061805556;0,293055556;0;0,642361111;0,259722222
170.096;0,589583333;0,286805556;8.58E-05;0,073611111;0,318055556
210.438;0,482638889;0,476388889;0.0023;0,253472222;0,245833333
189.962;0,608333333;0,360416667;0;0,075;0,109722222
163.71;0,321527778;0,438888889;0;0,088194444;0,620833333
146.023;0,492361111;0,251388889;0.000132;0,074305556;0,315972222
146.098;0,535416667;0,393055556;1.07E-05;0,075694444;0,161111111
192.94;0,094444444;0,570138889;0,202083333;0,225694444;0,251388889
180;0,330555556;0,34375;0,635416667;0,351388889;0,079166667
115.044;0,346527778;0,620138889;1.03E-06;0,629861111;0,075
135.017;0,590972222;0,440277778;0,6125;0,531944444;0,277083333
120.229;0,167361111;0,644444444;0;0,425;0,279861111
119.922;0,431944444;0,440972222;7.88E-06;0,082638889;0,418055556
144.933;0,517361111;0,488194444;2.54E-06;0.095;0,279166667
119.989;0,59375;0,457638889;0;0,664583333;0,511111111
218.41.00;0,38125;00.44;0.000779;0,63125;0,091666667
120.081;0,4875;0,39375;3.30E-05;0,249305556;0,135416667
132.022;00.53;0,508333333;7.35E-05;0.073;0,318055556
138.038;0,504166667;0,38125;3.62E-05;0,239583333;0,59375
124.989;0,491666667;0,29375;0.000113;0,094444444;0,494444444
155.196;0,045833333;0,419444444;0.000128;0,136111111;0,302083333
117.009;0,310416667;0,452777778;0.00371;0,127777778;0,254861111
137.961;0,193055556;00.47;0.00235;0,102777778;0,538194444
154.996;0,222916667;0,659027778;0,150694444;0,402083333;0,136111111
149.883;0,376388889;0,640972222;0,350694444;0,275694444;0,222916667
151.23.00;0,477777778;0,456944444;1.89E-06;0,232638889;00.28
133.941;0,661805556;00.38;0;0,088194444;0,088888889
116.997;0,611805556;0,515277778;2.49E-06;0,108333333;0,3
112.511;0,622916667;0,459722222;0;0,370833333;0,270138889
146.027;0,489583333;0,429861111;0;0,122222222;0,322916667
116.056;0,543055556;0,311805556;4.11E-05;0,077083333;00.34
153.102;0,446527778;0,056944444;9.47E-06;0,070138889;0,184722222
137.98;0,050694444;0,403472222;1.30E-05;0,073611111;0,249305556
159.927;0,45;0,377083333;0;0,070138889;0,133333333
160.078;0,334027778;0,419444444;0;0,1125;0,178472222
157.967;0,5125;0,403472222;0;0,070138889;0,440972222
140.016;0,058333333;0,374305556;1.34E-06;0,086111111;00.07
130.022;0,65;0,488888889;0;0,072222222;0,393055556
132.968;0,630555556;0,346527778;0;0.078;0,079166667
120.021;0,642361111;0,436111111;0;0,248611111;0,05625
140.063;0,629166667;0,308333333;6.44E-05;0,120138889;0,470833333
